type,Original,Replication,study
Effect Size,0.3,0.27,chefappearance
N,50,50,chefappearance
P-Value,0.05,0.086,chefappearance
RecEffectSize,0.3,0.27,chefappearance
T-TestValue,0.3,0.27,chefappearance
Effect Size,0.18,0.0476,offensiveview
N,25,30,offensiveview
P-Value,0.003,0.254,offensiveview
RecEffectSize,0.247,0.247,offensiveview
T-TestValue,5.15,1.41,offensiveview
Effect Size,0.04,0.01,sexdiff
N,163,304,sexdiff
P-Value,0.48,0.87,sexdiff
RecEffectSize,0.14,0.029,sexdiff
T-TestValue,0.72,0.15,sexdiff
